Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Volleyball duration (ms),High intensity interval training duration (ms)
2017-09-20,1925.9966223863348,4744.0234624147415,,,,,,,,7618,,,,,,69807263,5302729,,,
2017-09-21,1903.287290877755,5012.965958595276,,,,,,,,7310,,,,,,51057998,4889615,,,
2017-09-22,1891.1231607521268,3656.483983516693,,,,,,,,6041,,,,,,76100062,4668333,,,
2017-09-23,1946.1893121547214,5333.793673753738,,,,,1.0729844400008246,1.7200000286102295,0.5199999809265137,9154,,,,,,71254931,5670062,,,
2017-09-24,1987.1404249446323,5694.127261042595,,,,,0.9650000035762787,1.059999942779541,0.8500000238418579,8336,,,,,,72170250,6415020,,,
2017-09-25,1968.7543157872492,5565.261163830757,,,,,,,,8305,,,,,,75525203,6080551,,,
2017-09-26,2019.0148983694708,5541.668730258942,,,,,,,,8553,,,,,,59313132,6727840,115655,,
2017-09-27,1762.0713501505793,2351.2998538017273,,,,,,,,3604,,,,,,64476635,2320702,,,
2017-09-28,1854.9887698187931,3447.6115504428744,,,,,,,,5573,,,,,,61637778,4010999,,,
2017-09-29,1824.954117331004,1761.1019893884659,,,,,,,,3804,,,,,,74480145,3321731,61892,,
2017-09-30,1736.5746607355272,1383.0258393287659,,,,,7.469687471787135,10.84000015258789,0.75,2933,,,,,,73739304,1856881,,,
2017-10-01,1678.2245289479197,496.29736852645874,,,,,,,,1585,,,,,,74796276,795412,,,
2017-10-02,1761.8272337426197,1338.5079103708267,,,,,,,,2414,,,,,585936,70712039,1688874,,,
2017-10-03,1909.9833749401485,4371.853405952454,,,,,,,,7585,,,,,,72082813,5011426,,,
2017-10-04,1790.4765037992847,2769.269591808319,,,,,,,,4512,,,,,,74616773,2837430,,,
2017-10-05,1834.5490524150127,3531.3396031856537,,,,,,,,5802,,,,,,77139735,3639171,,,
2017-10-06,1850.696439654962,4032.998220682144,,,,,,,,6586,,,,,,76308848,3932916,,,
2017-10-07,1865.032589805795,4181.829404830933,,,,,,,,6716,,,,,,70144847,4136821,,,
2017-10-08,1750.2479626820787,1762.2594394683838,,,,,,,,3100,,,,,,80575121,2105616,,,
2017-10-09,1861.2552383090228,3503.166015148163,,,,,,,,5812,,,,,,78912281,4124995,,,
2017-10-10,1838.6508733294822,2844.42658495903,,,,,,,,4993,,,,,,79871515,3713789,,,
2017-10-11,1741.950017342747,1667.2376079559326,,,,,,,,2892,,,,,,81502817,1954666,,,
2017-10-12,1878.8804730948157,2685.491346359253,,,,,,,,5483,,,,,,68465630,4445621,,,
2017-10-13,1955.1963287477079,4472.205211400986,,,,,,,,6923,,,,,,73822466,5833914,,,
2017-10-14,1791.830941331897,2131.044921875,,,,,,,,3543,,,,,,79588985,2862070,,,
2017-10-15,1861.1848611403475,3029.023129284382,,,,,,,,4886,,,,,,72818658,3838657,123467,,
2017-10-16,1876.4040699189723,4220.155943393707,,,,,,,,6805,,,,,,64449708,4400572,,,
2017-10-17,1854.6271614817283,4018.7176535725594,,,,,,,,6276,,,,,,56347146,4004420,,,
2017-10-18,1698.8420985692594,1144.6811392307281,,,,,,,,1911,,,,,,72871509,1170474,,,
2017-10-19,1898.0517051410125,3544.600365102291,,,,,,,,5836,,,,,,65323187,4577295,94023,,
2017-10-20,1830.5304451629293,3411.6599057912827,,,,,,,,5351,,,,,,79196780,3566069,,,
2017-10-21,1886.2774081672824,4227.249221324921,,,,,,,,7400,,,,,,76102810,4580182,,,
2017-10-22,1905.737756603959,4059.834993839264,,,,,,,,6503,,,,,,70532019,4934193,,,
2017-10-23,2064.517577814038,7426.876908838749,,,,,,,,11973,,,,,,67149273,7822618,,,
2017-10-24,2054.65835284368,8164.1121280789375,,,,,,,,11971,,,,,,70161681,7643264,,,
2017-10-25,1852.9229213124504,3591.9063087701797,,,,,1.0700000524520874,1.0700000524520874,1.0700000524520874,5627,,,,,,65050143,3973416,,,
2017-10-26,2300.2410611170403,10189.94189786911,,,,,1.3470000147819519,1.5099999904632568,1.1100000143051147,16802,,,,,,59912434,12110755,,,
2017-10-27,1971.8242305109384,4899.838492870331,,,,,,,,10223,,,,,,58014718,6136399,,,
2017-10-28,2017.0159523172906,5286.34447312355,,,,,,,,12019,,,,,,63345279,6743838,92975,,
2017-10-29,1741.2000819415252,3338.4820247888565,,,,,,,,8298,,,,,1227220,58990101,3910852,122967,,
2018-05-13,373.86202267361114,,,,,,,,,,,,,,,,,,,
2018-05-14,1634.5,,,,,,,,,,,,,,,,,,,
2018-05-15,1634.5,,,,,,,,,,,,,,,,,,,
2018-05-16,1634.5,,,,,,,,,,,,,,,,,,,
2018-05-17,1634.5,,,,,,,,,,,,,,,,,,,
2018-05-18,1634.5,,,,,,,,,,,,,,,,,,,
2018-05-19,1634.5,,,,,,,,,,,,,,,,,,,
2018-05-20,1634.4999964202864,,,,,,,,,57,,,,,,19762422,,,,
2018-05-21,1957.480367381063,857.4249863624573,12.934516906738281,73.87776184082031,15.391398429870605,80.21334075927734,1.035874941582801,3.389556884765625,0.30639562010765076,1606,,,,43,1219734,82391909,1236439,755170,,725001
2018-05-22,1734.9872322426925,803.1573853492737,,,,,1.588617463156142,12.84000015258789,0.21996338665485382,1765,,,,34,,74367769,1822575,,,
2018-05-23,1947.485540546598,2251.8834615945816,13.077561378479004,80.26131439208984,13.078747749328613,80.26251983642578,2.8160463801045283,34.0,0.11214210093021393,3419,,,,36,,72374948,4823172,377027,,
2018-05-24,1651.8277289850867,,,,,,1.0117875142395496,4.570000171661377,0.5,358,,,,,,86084786,315214,,,
2018-05-25,1700.3734700742366,431.4133701324463,,,,,0.44571386729381973,1.319596529006958,0.27265873551368713,882,,,,10,,85201671,1198329,,,
2018-05-26,1783.2436255280859,295.11798071861267,,,,,1.3736790595405428,8.960000038146973,0.1330748349428177,1178,,,,10,,80041700,2705855,,,
2018-05-27,1641.774427290626,,,,,,1.0451351283369839,1.7400000095367432,0.6899999976158142,322,,,,,,86267665,132335,,,
2018-05-28,1680.4293102728222,444.5028083920479,12.934507369995117,80.21256256103516,12.934507369995117,80.21256256103516,0.7265469954443707,2.140000104904175,0.33024245500564575,1284,,,,12,,85191413,835520,,,
